Studio Color Code	BL Color Code	LDraw Color Code	LDD color code	Studio Color Name	BL Color Name	LDraw Color Name	LDD Color Name	RGB value	Alpha	CategoryName	Color Group Index		Ins_RGB	Ins_CMYK
1016	36	10002	28	Rubber Bright Green	Bright Green	Rubber_Bright_Green	Dark green	#58AB41	1	Rubber Colors	12	to_lego,to_bl		
1017	71	10026	124	Rubber Magenta	Magenta	Rubber_Magenta	Bright reddish violet	#901F76	1	Rubber Colors	21	to_lego,to_bl		
1018	157	10030	324	Rubber Medium Lavender	Medium Lavender	Rubber_Medium_Lavender	Medium Lavender	#A06EB9	1	Rubber Colors	20	to_lego,to_bl		
1019	154	10031	325	Rubber Lavender	Lavender	Rubber_Lavender	Lavender	#CDA4DE	1	Rubber Colors	20	to_lego,to_bl		
1020	88	10070	192	Rubber Reddish Brown	Reddish Brown	Rubber_Reddish_Brown	Reddish Brown	#5F3109	1	Rubber Colors	3	to_lego,to_bl		
1021	103	10226	226	Rubber Bright Light Yellow	Bright Light Yellow	Rubber_Bright_Light_Yellow	Cool Yellow	#FFEC6C	1	Rubber Colors	8	to_lego,to_bl		
1022	120	10308	308	Rubber Dark Brown	Dark Brown	Rubber_Dark_Brown	Dark Brown	#352100	1	Rubber Colors	4	to_lego,to_bl		
1023	59	10320	154	Rubber Dark Red	Dark Red	Rubber_Dark_Red	Dark red	#720012	1	Rubber Colors	0	to_lego,to_bl		
1024	153	10321	321	Rubber Dark Azure	Dark Azure	Rubber_Dark_Azure	Dark Azur	#469BC3	1	Rubber Colors	14	to_lego,to_bl		
1025	156	10322	322	Rubber Medium Azure	Medium Azure	Rubber_Medium_Azure	Medium Azure	#68C3E2	1	Rubber Colors	14	to_lego,to_bl		
1026	152	10323	323	Rubber Light Aqua	Light Aqua	Rubber_Light_Aqua	Aqua	#D3F2EA	1	Rubber Colors	13	to_lego,to_bl		
1027	68	10484	38	Rubber Dark Orange	Dark Orange	Rubber_Dark_Orange	Dark Orange	#91501C	1	Rubber Colors	5	to_lego,to_bl		
161	161	100003	180	Dark Yellow	Dark Yellow	unknown	Curry	#E5B635	1	Solid Colors	5	o		0,21,77,10
165	165	100007	133	Neon Orange	Neon Orange	unknown	Neon Orange	#FF7052	1	Solid Colors	2	to_lego		0,56,68,0
166	166	100009	134	Neon Green	Neon Green	unknown	Neon Green	#BCEF66	1	Solid Colors	10	to_lego		21,0,57,6
